"","name","job","phone_number","fcg","adm1name","lat","long"
"1","Del Kihn","Optometrist","(400)597-4952x95625","poor","North",-70.35,34.11
"2","Dr. Angel Price","Lecturer, higher education","(409)030-7917x3580","borderline","Mountain",87.41,-40.27
"3","Wyatt Lind","Control and instrumentation engineer","03467032798","acceptable","Isles",78.95,-52.44
"4","Rosalee Brekke","Commercial horticulturist","683.088.3511","poor","Rock",-72.79,-112.32
"5","Jacquelyn Donnelly","Biochemist, clinical","1-593-910-6690x16734","borderline","Stormlands",-73.82,-101.93
"6","Charisse Rice","Restaurant manager, fast food","04260364658","acceptable","Dorne",-57.91,83.29
"7","Racheal O'Keefe","Therapist, speech and language","167-602-2162","poor","North",-53.32,-107.5
"8","Reubin Schmidt","Exercise physiologist","345.953.4483x404","borderline","Mountain",-4.51,18.18
"9","Dr. Diane Schoen","Diplomatic Services operational officer","217.693.0588x22109","acceptable","Isles",78.94,104.08
"10","Cael Wilderman","Contractor","01922418467","poor","Rock",10.68,52.82
"11","Daryn Ratke","Petroleum engineer","547-518-3725x9702","borderline","Stormlands",74.98,-34.6
"12","Dr. Edison Price","Mental health nurse","1-089-049-0681","acceptable","Dorne",62.83,-47.14
"13","Evelyn Vandervort","Energy manager","1-518-166-5207","poor","North",-46.2,102.53
"14","Kipp Bradtke PhD","Occupational hygienist","114.116.3303","borderline","Mountain",77.19,-21.16
"15","Adolphus Koepp","Psychologist, sport and exercise","079-657-3368","acceptable","Isles",1.19,-85.14
"16","Dr. Diego Ward PhD","Video editor","132-043-2639","poor","Rock",-79.14,101.38
"17","Mr. Huston Jacobson","Designer, exhibition/display","1-417-475-3803x330","borderline","Stormlands",-72.61,-6.19
"18","Blanchard Langosh","Engineer, aeronautical","05659695193","acceptable","Dorne",-29.4,-106.16
"19","Alvia Koepp","Buyer, industrial","1-677-525-8731","poor","North",-19.55,59.77
"20","Albertine Quigley MD","Charity officer","079-664-3825x319","borderline","Mountain",-57.76,-45.04
"21","Ms. Kassandra Harvey DVM","Immunologist","900.272.3923x55679","acceptable","Isles",-2.61,-174.22
"22","Niko Kihn","Community education officer","+67(3)5417933668","poor","Rock",-31.15,100.86
"23","Ms. Dellia Satterfield","Museum/gallery exhibitions officer","+89(6)4383929089","borderline","Stormlands",-75.96,-41.32
"24","Adriane Dare","Charity fundraiser","1-327-961-2339","acceptable","Dorne",23.31,31.85
"25","Scot Hegmann-Stanton","Seismic interpreter","(118)130-4830","poor","North",-15.51,-146.87
"26","Chas Hoppe","Technical author","1-381-925-6471","borderline","Mountain",-67.46,-76.68
"27","Dr. Zayne Steuber","Comptroller","(030)412-8344","acceptable","Isles",36.89,173.6
"28","Gene Lind","English as a foreign language teacher","+04(6)2568435293","poor","Rock",-10.1,111.64
"29","Morris Toy-Hodkiewicz","Animal nutritionist","+16(7)4108275920","borderline","Stormlands",-69.31,-174.25
"30","Bettina Reichel","Research officer, trade union","1-601-073-4277","acceptable","Dorne",40.01,9.33
